,1s,1s,1s
7033.78,1.6414e-06,1.1268e-06,6.2572e-07
7047.39,1.6104e-06,1.1296e-06,6.2149e-07
7060.99,1.5814e-06,1.1338e-06,6.1806e-07
7074.6,1.5507e-06,1.1366e-06,6.1398e-07
7088.2,1.52e-06,1.1395e-06,6.0995e-07
7101.81,1.4894e-06,1.1423e-06,6.0595e-07
7115.41,1.4589e-06,1.145e-06,6.0197e-07
7129.02,1.4285e-06,1.1477e-06,5.9804e-07
7142.62,1.3983e-06,1.1504e-06,5.9417e-07
7156.23,1.3683e-06,1.1532e-06,5.9036e-07
7169.83,1.3384e-06,1.156e-06,5.8662e-07
7183.44,1.3088e-06,1.1588e-06,5.8295e-07
7197.04,1.2793e-06,1.1616e-06,5.7932e-07
7210.65,1.2498e-06,1.1642e-06,5.7567e-07
7224.25,1.2208e-06,1.1671e-06,5.7218e-07
7237.86,1.1916e-06,1.1697e-06,5.686e-07
7251.46,1.1626e-06,1.1722e-06,5.6503e-07
7265.07,1.1337e-06,1.1745e-06,5.6145e-07
7278.67,1.1049e-06,1.1768e-06,5.5788e-07
7292.28,1.0763e-06,1.179e-06,5.5431e-07
7305.88,1.0479e-06,1.1811e-06,5.5077e-07
7319.49,1.0197e-06,1.1832e-06,5.4727e-07
7333.09,9.918e-07,1.1853e-06,5.4382e-07
7346.7,9.6415e-07,1.1875e-06,5.4043e-07
7360.3,9.3675e-07,1.1896e-06,5.3708e-07
7373.91,9.0982e-07,1.192e-06,5.339e-07
7387.51,8.8305e-07,1.1942e-06,5.3069e-07
7401.12,8.5645e-07,1.1963e-06,5.2748e-07
7414.72,8.3011e-07,1.1983e-06,5.2429e-07
7428.33,8.04e-07,1.2003e-06,5.211e-07
7441.93,7.7811e-07,1.2021e-06,5.1791e-07
7455.54,7.5245e-07,1.2038e-06,5.147e-07
7469.14,7.2705e-07,1.2054e-06,5.115e-07
7482.75,7.0193e-07,1.2068e-06,5.083e-07
7496.35,6.7711e-07,1.2082e-06,5.0511e-07
7509.96,6.526e-07,1.2096e-06,5.0195e-07
7523.56,6.2837e-07,1.2107e-06,4.9876e-07
7537.17,6.0479e-07,1.2125e-06,4.9586e-07
7550.77,5.8191e-07,1.2149e-06,4.9329e-07
7564.38,5.5874e-07,1.2161e-06,4.9022e-07
7577.98,5.3607e-07,1.2174e-06,4.873e-07
7591.59,5.1379e-07,1.2188e-06,4.8442e-07
7605.19,4.9188e-07,1.2201e-06,4.8156e-07
7618.8,4.7032e-07,1.2213e-06,4.787e-07
7632.4,4.4912e-07,1.2224e-06,4.7584e-07
7646.01,4.2829e-07,1.2233e-06,4.7295e-07
7659.61,4.0783e-07,1.2241e-06,4.7006e-07
7673.22,3.8777e-07,1.2247e-06,4.6714e-07
7686.82,3.6807e-07,1.2251e-06,4.6417e-07
7700.43,3.4843e-07,1.224e-06,4.607e-07
7714.03,3.3121e-07,1.23e-06,4.5995e-07
7727.64,3.1247e-07,1.2289e-06,4.5655e-07
7741.24,2.9461e-07,1.2293e-06,4.5375e-07
7754.85,2.7727e-07,1.2299e-06,4.5107e-07
7768.45,2.6042e-07,1.2305e-06,4.4846e-07
7782.06,2.4405e-07,1.2311e-06,4.4588e-07
7795.66,2.2815e-07,1.2317e-06,4.4332e-07
7809.27,2.1272e-07,1.2321e-06,4.4075e-07
7822.87,1.9776e-07,1.2324e-06,4.3817e-07
7836.48,1.8328e-07,1.2325e-06,4.3555e-07
7850.08,1.6927e-07,1.2323e-06,4.3288e-07
7863.69,1.5571e-07,1.2314e-06,4.3e-07
7877.29,1.4278e-07,1.2314e-06,4.2746e-07
7890.9,1.3077e-07,1.2349e-06,4.262e-07
7904.5,1.1878e-07,1.2338e-06,4.2337e-07
7918.11,1.0741e-07,1.2334e-06,4.2081e-07
7931.71,9.6602e-08,1.2331e-06,4.1835e-07
7945.32,8.6353e-08,1.233e-06,4.1595e-07
7958.92,7.666e-08,1.2329e-06,4.1361e-07
7972.53,6.7524e-08,1.2327e-06,4.1129e-07
7986.13,5.8945e-08,1.2325e-06,4.0899e-07
7999.74,5.0927e-08,1.2322e-06,4.0668e-07
8013.34,4.3474e-08,1.2316e-06,4.0434e-07
8026.95,3.6588e-08,1.2307e-06,4.0191e-07
8040.55,3.0253e-08,1.2285e-06,3.991e-07
8054.16,2.4541e-08,1.2274e-06,3.9669e-07
8067.76,1.9492e-08,1.2309e-06,3.958e-07
8081.37,1.4942e-08,1.2294e-06,3.9331e-07
8094.97,1.0996e-08,1.2282e-06,3.9098e-07
8108.58,7.6508e-09,1.2271e-06,3.8871e-07
8122.18,4.9079e-09,1.2261e-06,3.865e-07
8135.79,2.7692e-09,1.2252e-06,3.8435e-07
8149.39,1.2366e-09,1.2243e-06,3.8223e-07
8163.0,3.1269e-10,1.2234e-06,3.8015e-07
8176.6,3.0598e-14,1.2224e-06,3.7808e-07
8190.21,3.013e-10,1.2213e-06,3.76e-07
8203.81,1.2188e-09,1.2199e-06,3.7385e-07
8217.42,2.7514e-09,1.2169e-06,3.7128e-07
8231.02,4.9262e-09,1.2205e-06,3.7073e-07
8244.63,7.7043e-09,1.2174e-06,3.6817e-07
8258.23,1.1112e-08,1.2155e-06,3.66e-07
8271.84,1.5147e-08,1.2137e-06,3.6389e-07
8285.44,1.9812e-08,1.2118e-06,3.6181e-07
8299.05,2.511e-08,1.21e-06,3.5977e-07
8312.65,3.1043e-08,1.2083e-06,3.5777e-07
8326.26,3.7616e-08,1.2065e-06,3.5581e-07
8339.86,4.4831e-08,1.2049e-06,3.539e-07
8353.47,5.269e-08,1.2032e-06,3.5202e-07
8367.07,6.1196e-08,1.2015e-06,3.5015e-07
8380.68,7.0344e-08,1.1997e-06,3.4828e-07
8394.28,8.0093e-08,1.1971e-06,3.4623e-07
8407.89,9.0682e-08,1.1971e-06,3.4495e-07
8421.49,1.0174e-07,1.1946e-06,3.4296e-07
8435.1,1.1348e-07,1.1923e-06,3.4107e-07
8448.7,1.2585e-07,1.1899e-06,3.3919e-07
8462.31,1.3888e-07,1.1875e-06,3.3731e-07
8475.91,1.5255e-07,1.185e-06,3.3544e-07
8489.52,1.6687e-07,1.1824e-06,3.3358e-07
8503.12,1.8185e-07,1.1799e-06,3.3176e-07
8516.73,1.975e-07,1.1774e-06,3.2997e-07
8530.33,2.1381e-07,1.1749e-06,3.2822e-07
8543.94,2.308e-07,1.1725e-06,3.2651e-07
8557.54,2.4846e-07,1.1701e-06,3.2483e-07
8571.15,2.6678e-07,1.1677e-06,3.2317e-07
8584.75,2.8579e-07,1.1653e-06,3.2154e-07
8598.36,3.0542e-07,1.1627e-06,3.1989e-07
8611.96,3.257e-07,1.1601e-06,3.1824e-07
8625.57,3.4661e-07,1.1573e-06,3.1657e-07
8639.17,3.6813e-07,1.1543e-06,3.149e-07
8652.78,3.9028e-07,1.1513e-06,3.1321e-07
8666.38,4.1304e-07,1.1481e-06,3.1151e-07
8679.99,4.3644e-07,1.1448e-06,3.0982e-07
8693.59,4.6047e-07,1.1415e-06,3.0815e-07
8707.2,4.8516e-07,1.1383e-06,3.0649e-07
8720.8,5.1051e-07,1.135e-06,3.0487e-07
8734.41,5.3653e-07,1.1318e-06,3.0327e-07
8748.01,5.6316e-07,1.1284e-06,3.0167e-07
8761.62,5.9078e-07,1.1257e-06,3.0026e-07
8775.22,6.1891e-07,1.1226e-06,2.9879e-07
8788.83,6.4761e-07,1.1194e-06,2.9729e-07
8802.43,6.7695e-07,1.1161e-06,2.958e-07
8816.04,7.0689e-07,1.1128e-06,2.943e-07
8829.64,7.3742e-07,1.1093e-06,2.9279e-07
8843.25,7.6849e-07,1.1056e-06,2.9127e-07
8856.85,8.0012e-07,1.1019e-06,2.8974e-07
8870.46,8.3229e-07,1.098e-06,2.8819e-07
8884.06,8.6502e-07,1.094e-06,2.8664e-07
8897.67,8.9832e-07,1.09e-06,2.851e-07
8911.27,9.3216e-07,1.0859e-06,2.8355e-07
8924.88,9.6635e-07,1.0814e-06,2.8195e-07
8938.48,1.0022e-06,1.0781e-06,2.8066e-07
8952.09,1.0395e-06,1.0758e-06,2.7963e-07
8965.69,1.0757e-06,1.0714e-06,2.7811e-07
8979.3,1.1128e-06,1.0675e-06,2.767e-07
8992.9,1.1506e-06,1.0636e-06,2.7533e-07
9006.51,1.189e-06,1.0597e-06,2.7397e-07
9020.11,1.2279e-06,1.0557e-06,2.7261e-07
9033.72,1.2673e-06,1.0515e-06,2.7124e-07
9047.32,1.3071e-06,1.0473e-06,2.6985e-07
9060.93,1.3473e-06,1.0429e-06,2.6845e-07
9074.53,1.3879e-06,1.0383e-06,2.6702e-07
9088.14,1.4288e-06,1.0336e-06,2.6556e-07
9101.74,1.4698e-06,1.0286e-06,2.6404e-07
9115.35,1.5083e-06,1.0215e-06,2.6203e-07
9128.95,1.5627e-06,1.0247e-06,2.6265e-07
9142.56,1.6022e-06,1.0176e-06,2.6064e-07
9156.16,1.6455e-06,1.0126e-06,2.5921e-07
9169.77,1.6899e-06,1.008e-06,2.5789e-07
9183.37,1.7351e-06,1.0035e-06,2.5661e-07
9196.98,1.7809e-06,9.9907e-07,2.5536e-07
9210.58,1.8273e-06,9.9461e-07,2.5413e-07
9224.19,1.8741e-06,9.9008e-07,2.5289e-07
9237.79,1.9212e-06,9.8545e-07,2.5164e-07
9251.4,1.9687e-06,9.8067e-07,2.5037e-07
9265.0,2.0162e-06,9.7571e-07,2.4906e-07
9278.61,2.0637e-06,9.7046e-07,2.477e-07
9292.21,2.1101e-06,9.645e-07,2.4617e-07
9305.82,2.1598e-06,9.598e-07,2.4498e-07
9319.42,2.2196e-06,9.593e-07,2.4487e-07
9333.03,2.2663e-06,9.5279e-07,2.4324e-07
9346.63,2.3159e-06,9.4735e-07,2.4191e-07
9360.24,2.3667e-06,9.4219e-07,2.4065e-07
9373.84,2.4183e-06,9.3718e-07,2.3945e-07
9387.45,2.4707e-06,9.3226e-07,2.3829e-07
9401.05,2.5237e-06,9.2738e-07,2.3714e-07
9414.66,2.5772e-06,9.225e-07,2.3601e-07
9428.26,2.6311e-06,9.1757e-07,2.3489e-07
9441.87,2.6852e-06,9.1254e-07,2.3375e-07
9455.47,2.7392e-06,9.0734e-07,2.3258e-07
9469.08,2.7929e-06,9.0184e-07,2.3134e-07
9482.68,2.8438e-06,8.9536e-07,2.2986e-07
9496.29,2.8991e-06,8.9017e-07,2.2873e-07
9509.89,2.9683e-06,8.8899e-07,2.2864e-07
9523.5,3.021e-06,8.8269e-07,2.2725e-07
9537.1,3.0761e-06,8.7695e-07,2.2601e-07
9550.71,3.1321e-06,8.714e-07,2.2483e-07
9564.31,3.1889e-06,8.6596e-07,2.2369e-07
9577.92,3.2464e-06,8.6062e-07,2.2259e-07
9591.52,3.3047e-06,8.5535e-07,2.2152e-07
9605.13,3.3635e-06,8.5013e-07,2.2047e-07
9618.73,3.4229e-06,8.4494e-07,2.1944e-07
9632.34,3.4826e-06,8.3972e-07,2.1841e-07
9645.94,3.5424e-06,8.3443e-07,2.1737e-07
9659.55,3.6017e-06,8.2893e-07,2.1629e-07
9673.15,3.658e-06,8.2269e-07,2.1503e-07
9686.76,3.7175e-06,8.1708e-07,2.1394e-07
9700.36,3.7913e-06,8.145e-07,2.1365e-07
9713.97,3.8496e-06,8.0846e-07,2.1247e-07
9727.57,3.9094e-06,8.0265e-07,2.1135e-07
9741.18,3.9697e-06,7.9691e-07,2.1026e-07
9754.78,4.0305e-06,7.9121e-07,2.092e-07
9768.39,4.0918e-06,7.8555e-07,2.0815e-07
9781.99,4.1538e-06,7.7997e-07,2.0713e-07
9795.6,4.2164e-06,7.7445e-07,2.0613e-07
9809.2,4.2797e-06,7.69e-07,2.0516e-07
9822.81,4.3436e-06,7.6359e-07,2.0422e-07
9836.41,4.4079e-06,7.5821e-07,2.0328e-07
9850.02,4.4723e-06,7.5278e-07,2.0234e-07
9863.62,4.5356e-06,7.4714e-07,2.0135e-07
9877.23,4.5988e-06,7.4143e-07,2.0035e-07
9890.83,4.6709e-06,7.371e-07,1.9974e-07
9904.44,4.7346e-06,7.3139e-07,1.9875e-07
9918.04,4.7986e-06,7.257e-07,1.9778e-07
9931.65,4.8625e-06,7.1997e-07,1.968e-07
9945.25,4.9264e-06,7.142e-07,1.9582e-07
9958.86,4.9902e-06,7.0843e-07,1.9484e-07
9972.46,5.0542e-06,7.0266e-07,1.9387e-07
9986.07,5.1186e-06,6.9694e-07,1.9292e-07
9999.67,5.1835e-06,6.9127e-07,1.9199e-07
